0:0:0:0:0:0:0:1 - - [13/Jan/2022:17:34:32 +0100] "GET /spring-boot-data-jpa-tomcat-0.0.1-SNAPSHOT/listar HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [13/Jan/2022:17:34:36 +0100] "GET /spring-boot-data-jpa-tomcat-0.0.1-SNAPSHOT/listar-rest HTTP/1.1" 404 745
0:0:0:0:0:0:0:1 - - [13/Jan/2022:17:34:43 +0100] "GET / HTTP/1.1" 200 11354
0:0:0:0:0:0:0:1 - - [13/Jan/2022:17:36:57 +0100] "GET /spring-boot-data-jpa-tomcat-0.0.1-SNAPSHOT HTTP/1.1" 404 729
0:0:0:0:0:0:0:1 - - [13/Jan/2022:17:37:43 +0100] "GET /spring-boot-data-jpa-tomcat-0.0.1-SNAPSHOT HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:17:37:44 +0100] "GET /spring-boot-data-jpa-tomcat-0.0.1-SNAPSHOT/ HTTP/1.1" 200 7319
0:0:0:0:0:0:0:1 - - [13/Jan/2022:17:37:44 +0100] "GET /spring-boot-data-jpa-tomcat-0.0.1-SNAPSHOT/js/popper.min.js HTTP/1.1" 200 19188
0:0:0:0:0:0:0:1 - - [13/Jan/2022:17:37:44 +0100] "GET /spring-boot-data-jpa-tomcat-0.0.1-SNAPSHOT/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [13/Jan/2022:17:37:44 +0100] "GET /spring-boot-data-jpa-tomcat-0.0.1-SNAPSHOT/js/bootstrap.min.js HTTP/1.1" 200 51143
0:0:0:0:0:0:0:1 - - [13/Jan/2022:17:37:44 +0100] "GET /spring-boot-data-jpa-tomcat-0.0.1-SNAPSHOT/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [13/Jan/2022:17:37:44 +0100] "GET /spring-boot-data-jpa-tomcat-0.0.1-SNAPSHOT/js/jquery-ui.min.js HTTP/1.1" 200 254921
0:0:0:0:0:0:0:1 - - [13/Jan/2022:17:37:44 +0100] "GET /spring-boot-data-jpa-tomcat-0.0.1-SNAPSHOT/css/jquery-ui.min.css HTTP/1.1" 200 32130
0:0:0:0:0:0:0:1 - - [13/Jan/2022:17:37:44 +0100] "GET /spring-boot-data-jpa-tomcat-0.0.1-SNAPSHOT/images/spring.png HTTP/1.1" 200 283323
